,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
0,A,127.6,15,0.500053349838567,88.02395209580838,0.43606159967471214,72.85429141716567,0.2212769423356226,62.874251497005986,0.10959472387900641,84.63073852295409,N/A
1,NKE,150.14,13,0.4392750618685966,86.02794411177645,0.5045870336016094,79.24151696606786,0.1171110980050173,41.51696606786427,0.04588944403801704,54.690618762475054,N/A
2,NWL,23.82,82,0.2719410836951573,69.061876247505,0.4878813792152257,77.64471057884231,0.30037611960290705,75.249500998004,0.05030249326589727,57.884231536926144,N/A
3,NVR,3931.9,0,0.0606266801014168,41.91616766467065,0.2526960697850563,46.506986027944116,-0.04364053130993358,10.778443113772456,0.006624719502299752,32.33532934131736,N/A
4,NVDA,543.71,3,1.2284886036349016,99.00199600798403,0.3589253769342207,61.27744510978044,-0.04422929827782997,10.578842315369261,-0.019942362976881425,19.760479041916167,N/A
5,NUE,58.34,33,0.08615567325185951,45.50898203592814,0.39246432547369153,66.06786427145708,0.16697882162341993,53.093812375249506,0.012681543869072106,36.52694610778443,N/A
6,NTRS,101.55,19,-0.04598171740420516,25.748502994011975,0.2839143554858012,51.29740518962076,0.20201272634542528,59.88023952095808,0.04147576500210412,52.8942115768463,N/A
7,NTAP,66.3,29,0.10238433024480158,48.50299401197605,0.5918131861038977,86.82634730538922,0.4987972666491359,92.41516966067864,0.0923911525118945,78.84231536926147,N/A
8,NSC,264.2,7,0.2957351689404067,73.85229540918164,0.4543109069811111,75.44910179640718,0.15982965177605363,51.69660678642715,0.045794813636781145,54.29141716566866,N/A
9,NRG,40.58,48,0.05198443972470009,40.31936127744511,0.1694433078410137,32.734530938123754,0.20522139334040063,60.47904191616767,0.10462302533393587,82.83433133732535,N/A
10,NOW,537.026,3,0.753656264108565,96.00798403193613,0.2424572692240378,44.71057884231537,0.023492024177030786,20.758483033932134,-0.04132636756949738,11.377245508982035,N/A
11,NOV,15.758,124,-0.4059969282310961,2.5948103792415167,0.31287875597842363,55.08982035928144,0.7249651279954429,97.2055888223553,0.07874910680706097,73.25349301397206,N/A
12,NOC,296.439,6,-0.2097741659395883,9.181636726546905,-0.030970386059061814,6.58682634730539,-0.0644333328243272,7.584830339321358,-0.028311312269265615,14.37125748502994,N/A
13,NLSN,21.524,91,0.03973419570090918,38.72255489021956,0.4528829960225567,75.0499001996008,0.460086604603735,89.42115768463074,0.21296185591138983,97.80439121756487,N/A
14,NLOK,21.343,91,0.4153906117796445,84.63073852295409,0.08108883279316893,18.962075848303392,0.014570046196925666,18.7624750499002,0.073562158828493,70.05988023952095,N/A
15,NI,22.354,87,-0.17648551568539922,11.976047904191617,-0.03486222410594573,6.187624750499002,0.013174995060979328,18.163672654690618,-0.07579233678452933,4.191616766467066,N/A
16,MRK,83.35,23,-0.02834817475540937,26.746506986027946,0.0867638142671857,19.960079840319363,0.06063048182581142,30.33932135728543,0.02686480556770547,42.71457085828344,N/A
17,NFLX,525.99,3,0.5622807718204247,90.8183632734531,0.03207809154967054,11.976047904191617,-0.04854815588982764,9.980039920159681,-0.013573077518257193,22.954091816367264,N/A
18,NEM,64.2,30,0.5495595610554646,90.01996007984032,0.05588927673053923,16.367265469061877,0.0748576126577177,34.3313373253493,0.06756993546692869,66.66666666666666,N/A
19,NEE,84.96,23,0.3442499744527012,80.03992015968065,0.3074795838172465,53.89221556886228,0.0727256227059096,34.13173652694611,0.08318556448015191,75.64870259481037,N/A
20,NDAQ,144.27,13,0.3137108712264854,76.24750499001996,0.14453402090229098,29.141716566866265,0.12104496836637067,42.71457085828344,0.0644189879546057,65.46906187624751,N/A
21,NCLH,25.17,77,-0.5838380094481752,0.0,0.6415483221067799,89.82035928143712,0.37231889708120636,83.03393213572853,-0.07218200997641572,4.790419161676647,N/A
22,MXIM,98.58,19,0.576469003592888,91.41716566866268,0.5549473832592762,84.23153692614771,0.3510996391965104,81.63672654690619,0.0888096606897797,77.64471057884231,N/A
23,MU,78.83,24,0.35869317860549815,80.83832335329342,0.6216982445469501,88.22355289421158,0.6489564679329048,96.6067864271457,0.0931514068423399,79.64071856287424,N/A
24,MTD,1265.327,1,0.5466275946487731,89.82035928143712,0.5116100840121037,80.23952095808383,0.2123373363582122,61.876247504990026,0.0883145451840916,77.44510978043913,N/A
25,MTB,150.16,13,-0.07677827046818524,21.756487025948104,0.5346335322020334,82.43512974051896,0.467732865465647,89.82035928143712,0.16254686917939226,93.21357285429141,N/A
26,MSI,175.85,11,0.0504423191339144,40.119760479041915,0.3294489405704515,58.28343313373253,0.0725307427322692,33.93213572854291,0.008063699150957235,33.13373253493014,N/A
27,MSFT,224.72,8,0.40199062581588246,83.43313373253493,0.05363632128517995,15.968063872255488,0.04313237892906239,24.75049900199601,0.019427778499742886,39.321357285429144,N/A
28,MSCI,465.26,4,0.7319763181252746,95.60878243512974,0.2732260845526605,49.700598802395206,0.303988318818302,76.24750499001996,0.05104396882950835,58.08383233532935,N/A
29,MS,78.48,24,0.5181730555592219,89.22155688622755,0.6059138996452759,87.62475049900199,0.5617276372435418,94.41117764471058,0.16626168220982548,93.812375249501,N/A
30,NWS,19.024,103,0.2498206618690877,66.66666666666666,0.533249882178916,82.23552894211576,0.3017749903724288,76.04790419161677,-0.010332859622169328,24.550898203592812,N/A
31,NWSA,18.8,104,0.32518390507210093,77.64471057884231,0.5896407587193614,86.42714570858283,0.32348669142786873,78.84231536926147,0.0131405298420583,36.92614770459082,N/A
32,O,61.64,31,-0.17546709067741698,12.375249500998004,0.030298558277423556,11.776447105788424,-0.05193903294644455,9.580838323353294,-0.026906278941381097,14.97005988023952,N/A
33,ODFL,206.09,9,0.630506066618729,93.21357285429141,0.15182695585697523,30.538922155688624,0.04953645875959522,27.345309381237527,-0.03059078141134281,13.572854291417165,N/A
34,PPG,149.24,13,0.2009771646070448,61.07784431137725,0.4098602763887976,68.6626746506986,0.17603146902019015,53.89221556886228,0.04108010623424797,52.49500998003992,N/A
35,PNW,79.84,24,-0.08737821024162941,20.758483033932134,0.04683616885537099,14.570858283433132,-0.05119542406111612,9.780439121756487,-0.05737373036528747,7.18562874251497,N/A
36,PNR,57.37,34,0.2456757755770267,66.06786427145708,0.544744069430574,82.83433133732535,0.1525086649114386,49.9001996007984,0.08239387405145326,75.0499001996008,N/A
37,PNC,165.875,11,0.05343928122868741,40.5189620758483,0.6348288031740675,89.02195608782435,0.3976279048838267,85.42914171656687,0.1253874879664737,88.22355289421158,N/A
38,PM,84.44,23,0.02414592294172218,36.327345309381236,0.17374382473466188,33.93213572854291,0.06594836176626252,31.3373253493014,0.03176351652303504,47.70459081836327,N/A
39,PLD,101.58,19,0.1078047759694764,49.30139720558882,0.01692220668836963,10.379241516966067,-0.09782134360996458,2.3952095808383236,-0.01721125643506693,20.758483033932134,N/A
40,PKI,162.88,12,0.6331402639631502,93.41317365269461,0.6130920293689374,88.02395209580838,0.2610042500571134,69.86027944111777,0.11741685662872627,86.42714570858283,N/A
41,PKG,148.4,13,0.4407226422350658,86.22754491017965,0.4991300278582245,78.44311377245509,0.3094296255379106,76.84630738522954,0.08425699432968335,76.24750499001996,N/A
42,PHM,41.928,46,0.08910210905496715,45.90818363273453,0.2633838214221887,47.50499001996008,-0.09755011530983848,2.5948103792415167,-0.02283721619535381,17.16566866267465,N/A
43,PH,295.15,6,0.3986622132584348,82.63473053892216,0.5622468400471775,84.63073852295409,0.3015598644419211,75.84830339321357,0.0368348355762371,49.9001996007984,N/A
44,PGR,95.97,20,0.3727767812102621,81.63672654690619,0.2761090615024786,50.0998003992016,0.0304490143307035,21.956087824351297,0.1022333479095481,81.83632734530939,N/A
45,PG,143.4,13,0.17081342493187168,57.28542914171657,0.15073230408034932,30.33932135728543,-0.008012796962457757,15.169660678642716,0.008641589935640678,33.73253493013972,N/A
46,PFG,51.89,37,-0.01746363554811906,28.542914171656687,0.2954909318253789,52.69461077844312,0.220324003341978,62.6746506986028,0.02054619321811572,39.920159680638726,N/A
47,PFE,38.45,50,-0.004689276853068016,30.538922155688624,0.1116451619472227,23.353293413173652,0.027091914315370128,21.55688622754491,-0.10553804173196106,1.7964071856287425,N/A
48,PEP,145.27,13,0.09805674713409487,47.70459081836327,0.08372237019126894,19.760479041916167,0.04839817270980675,26.746506986027946,-0.019967598363012557,19.560878243512974,N/A
49,PEG,59.33,33,0.00042676527897709914,32.13572854291417,0.13097837692296943,27.14570858283433,-0.008113490914600108,14.770459081836327,-0.01692267228481632,20.958083832335326,N/A
50,PEAK,29.0,67,-0.1347670556183811,16.367265469061877,0.07814670951856058,18.163672654690618,0.0159030264761715,18.962075848303392,-0.07584269819492002,3.992015968063872,N/A
